.avif image/avif
.bmp image/bmp
.css text/css
.csv text/csv
.doc application/msword
.bin application/octet-stream
.gif image/gif
.html text/html;charset=UTF-8
.jpeg image/jpeg
.jpg image/jpeg
.js application/javascript
.json application/json
.pdf application/pdf
.png image/png
.svg image/svg+xml
.txt text/plain
.xml application/xml
.zip application/zip
.7z application/x-7z-compressed
.aac audio/aac
.ai application/illustrator
.avi video/x-msvideo
.bak application/x-trash
.bib text/x-bibtex
.c application/x-c
.cpp text/x-c
.class application/java-vm
.csh application/x-csh
.cab application/vnd.ms-cab-compressed
.dmg application/x-apple-diskimage
.deb application/x-deb
.dll application/x-msdos-program
.docx application/vnd.openxmlformats-officedocument.wordprocessingml.document
.dotx application/vnd.openxmlformats-officedocument.wordprocessingml.template
.es application/ecmascript
.eps application/postscript
.flv video/x-flv
.gem application/octet-stream
.gz application/gzip
.h application/x-c
.haml text/haml
.ico image/vnd.microsoft.icon
.ics text/calendar
.jar application/java-archive
.java text/x-java
.js application/javascript
.json application/json
.lock text/plain
.log text/plain
.map application/json
.md text/markdown
.mid audio/midi
.midi audio/midi
.mov video/quicktime
.mp3 audio/mpeg
.mp4 video/mp4
.mpeg video/mpeg
.mpkg application/vnd.apple.installer+xml
.obj application/octet-stream
.ogg audio/ogg
.pdf application/pdf
.php application/x-httpd-php
.php3 application/x-httpd-php
.php4 application/x-httpd-php
.php5 application/x-httpd-php
.png image/png
.ppt application/vnd.ms-powerpoint
.pptx application/vnd.openxmlformats-officedocument.presentationml.presentation
.ps application/postscript
.py text/x-python
.rar application/x-rar-compressed
.rb application/x-ruby
.rpm application/x-redhat-package-manager
.rtf application/rtf
.sass text/x-sass
.scss text/x-scss
.sql application/sql
.sqlite3 application/x-sqlite3
.svg image/svg+xml
.tar application/x-tar
.tex application/x-tex
.texi application/x-texinfo
.texinfo application/x-texinfo
.tgz application/x-tar
.ttf font/ttf
.txt text/plain
.wav audio/wav
.webm video/webm
.wma audio/x-ms-wma
.wmv video/x-ms-wmv
.xlsm application/vnd.ms-excel.sheet.macroEnabled.12
.xlsx application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
.yml text/yaml
